"","rho","t_l","t_u"
"1",0,30.3826208463481,78.0260700745681
"2",0.01,30.8061994942234,78.8142121965337
"3",0.025,31.4578589524933,80.0267385380198
"4",0.05,32.5896885379082,82.1327053416511
"5",0.1,35.0419859729744,86.6956334161872
"6",0.2,40.8661923812573,97.5325875932111
"7",0.3,48.3544577633345,111.46581439224
"8",0.4,58.3388116061043,130.04345012428
"9",0.5,72.3169069859843,156.05214014914
"10",0.6,93.2840500558055,195.065175186431
"11",0.7,128.229288505503,260.086900248575
"12",0.8,198.119765404888,390.130350372845
"13",0.9,407.791196103159,780.260700745871
